,base,GenSR,Sublex_Score
18535,d-o-z-n,d-z-n-a,0.0004932060822128
18543,t-a-dj-e-z-n,t-a-d-z-n-a,
18552,dj-e-z-n,d-z-n-a,
18553,r-u-d-zj-e-r,r-u-d-z-r-a,0.02654526338554
18554,k-a-d-z-o-r,k-a-d-z-r-a,0.050862560372687896
18555,g-u-d-zj-e-r,g-u-d-z-r-a,0.02654526338554
18556,gj-i-d-z-o-r,gj-i-d-z-r-a,0.050862560372687896
18557,d-zj-e-r,d-z-r-a,0.0150828379551884
18558,zh-a-dj-e-r,zh-a-d-r-a,0.4740234093239653
18559,sh-i-d-o-r,sh-i-d-r-a,0.6666666666666666
18560,sj-i-d-o-r,sj-i-d-r-a,0.6666666666666666
18568,dj-e-r,d-r-a,0.4740234093239653
18649,k-u-dj-e-r,k-u-d-r-a,0.4740234093239653
18650,k-a-d-o-r,k-a-d-r-a,0.6666666666666666
18666,sh-a-dj-e-r,sh-a-d-r-a,0.4740234093239653
18667,m-a-d-o-r,m-a-d-r-a,0.6666666666666666
18676,zh-o-b,zh-b-a,0.1937635731225528
18684,zh-e-b,zh-b-a,0.1937635731225528
18685,pj-i-zh-o-b,pj-i-zh-b-a,0.1937635731225528
18686,b-u-zh-e-b,b-u-zh-b-a,0.1937635731225528
18695,t-a-zh-o-b,t-a-zh-b-a,0.1937635731225528
18696,r-u-zh-o-b,r-u-zh-b-a,0.1937635731225528
18697,b-a-zh-e-b,b-a-zh-b-a,0.1937635731225528
18698,lj-i-zh-o-b,lj-i-zh-b-a,0.1937635731225528
18699,b-u-zh-e-b-v,b-u-zh-b-v-a,3.0737336658e-06
18700,zh-e-b-v,zh-b-v-a,3.0737336658e-06
18701,m-a-zh-o-b-v,m-a-zh-b-v-a,3.070846783e-06
18702,x-u-zh-b-o-v,x-u-zh-b-v-a,0.0279641101564351
18703,zh-bj-e-v,zh-b-v-a,0.0157816285544999
18704,x-u-zh-o-b-v,x-u-zh-b-v-a,3.070846783e-06
18705,zh-bj-e-d,zh-b-d-a,0.0932147230138362
18713,zh-b-o-d,zh-b-d-a,0.1163431207858558
18721,zh-a-zh-o-b-d,zh-a-zh-b-d-a,5.6378401911e-05
18738,zh-e-v,zh-v-a,0.6666666666666666
18802,sh-a-zh-e-v,sh-a-zh-v-a,0.6666666666666666
18803,zh-o-v,zh-v-a,0.6666666666666666
18830,m-a-zh-e-v,m-a-zh-v-a,0.6666666666666666
18831,r-u-zh-e-v,r-u-zh-v-a,0.6666666666666666
18859,k-u-zh-e-v,k-u-zh-v-a,0.6666666666666666
18860,r-a-zh-e-v,r-a-zh-v-a,0.6666666666666666
18952,kj-i-zh-e-v,kj-i-zh-v-a,0.6666666666666666
19081,r-u-zh-o-v,r-u-zh-v-a,0.6666666666666666
19082,m-a-zh-o-v,m-a-zh-v-a,0.6666666666666666
19083,lj-i-zh-o-v,lj-i-zh-v-a,0.6666666666666666
19084,zh-e-g,zh-g-a,0.5615023945036023
19111,b-a-zh-o-g,b-a-zh-g-a,0.5615023945036023
19112,zh-o-g,zh-g-a,0.5615023945036023
19166,m-a-zh-e-g,m-a-zh-g-a,0.5615023945036023
19194,mj-i-zh-e-g,mj-i-zh-g-a,0.5615023945036023
19249,sj-i-zh-e-g-b,sj-i-zh-g-b-a,6.925586434440193e-08
19250,zh-e-g-b,zh-g-b-a,6.925586434440193e-08
19251,rj-i-zh-g-o-b,rj-i-zh-g-b-a,0.0039850341051068
19252,zh-e-g-v,zh-g-v-a,0.0001451401696522
19253,zh-gj-e-v,zh-g-v-a,0.1260874274470654
19307,z-u-zh-g-o-v,z-u-zh-g-v-a,0.2052570165443304
19308,n-u-zh-e-g-v,n-u-zh-g-v-a,0.0001451401696522
19309,l-a-zh-g-o-v,l-a-zh-g-v-a,0.2052570165443304
19337,zh-g-o-v,zh-g-v-a,0.2052570165443304
19338,zh-a-zh-o-g-zh,zh-a-zh-g-zh-a,2.9882452567036196e-10
19339,z-u-zh-g-o-zh,z-u-zh-g-zh-a,0.0005926663472028
19340,zh-o-g-zh,zh-g-zh-a,2.9882452567036196e-10
19341,zh-e-g-zh,zh-g-zh-a,2.988293832958014e-10
19342,mj-i-zh-gj-e-zh,mj-i-zh-g-zh-a,0.0005311153883439
19343,rj-i-zh-o-g-zh,rj-i-zh-g-zh-a,2.9882452567036196e-10
19344,zh-gj-e-zh,zh-g-zh-a,0.0005311153883439
19345,m-a-zh-g-o-zh,m-a-zh-g-zh-a,0.0005926663472028
19346,x-a-zh-gj-e-z,x-a-zh-g-z-a,0.0157196382855542
19354,b-u-zh-e-g-z,b-u-zh-g-z-a,4.914975898263913e-08
19355,tj-i-zh-gj-e-z,tj-i-zh-g-z-a,0.0157196382855542
19356,b-a-zh-e-g-z,b-a-zh-g-z-a,4.914975898263913e-08
19357,zh-gj-e-z,zh-g-z-a,0.0157196382855542
19358,zh-e-g-z,zh-g-z-a,4.914975898263913e-08
19367,zh-o-g-m,zh-g-m-a,0.0001405101756992
19375,zh-e-g-m,zh-g-m-a,0.0001451401696522
19376,b-u-zh-o-g-m,b-u-zh-g-m-a,0.0001405101756992
19377,m-a-zh-gj-e-m,m-a-zh-g-m-a,0.1260869588755536
19386,x-a-zh-e-g-m,x-a-zh-g-m-a,0.0001451401696522
19387,sh-a-zh-o-g-m,sh-a-zh-g-m-a,0.0001405101756992
19388,sh-i-zh-e-g-m,sh-i-zh-g-m-a,0.0001451401696522
19389,r-u-zh-e-g-r,r-u-zh-g-r-a,0.0014764083313308
19390,zh-gj-e-r,zh-g-r-a,0.4740234092970407
19444,xj-i-zh-o-g-r,xj-i-zh-g-r-a,0.0014293713871383
19445,x-u-zh-o-g-r,x-u-zh-g-r-a,0.0014293713871383
19473,n-u-zh-g-o-r,n-u-zh-g-r-a,0.6666666666666666
19474,m-u-zh-e-g-r,m-u-zh-g-r-a,0.0014764083313308
19475,l-u-zh-gj-e-r,l-u-zh-g-r-a,0.4740234092970407
19476,zh-g-o-r,zh-g-r-a,0.6666666666666666
19477,zh-e-g-r,zh-g-r-a,0.0014764083313308
19478,zh-e-d,zh-d-a,0.1937635731225528
19542,lj-i-zh-o-d,lj-i-zh-d-a,0.1937635731225528
19543,l-a-zh-o-d,l-a-zh-d-a,0.1937635731225528
19608,zh-o-d,zh-d-a,0.1937635731225528
19951,rj-i-zh-o-d,rj-i-zh-d-a,0.1937635731225528
19952,m-u-zh-o-d,m-u-zh-d-a,0.1937635731225528
19953,k-u-zh-o-d,k-u-zh-d-a,0.1937635731225528
20361,t-a-zh-o-d,t-a-zh-d-a,0.1937635731225528
21455,g-u-zh-e-d,g-u-zh-d-a,0.1937635731225528
22142,z-u-zh-dj-e-b,z-u-zh-d-b-a,0.0080579939761529
22143,zh-e-d-b,zh-d-b-a,7.4907855862e-06
22144,xj-i-zh-d-o-b,xj-i-zh-d-b-a,0.009900640249756301
22145,zh-d-o-b,zh-d-b-a,0.009900640249756301
22146,zj-i-zh-dj-e-b,zj-i-zh-d-b-a,0.0080579939761529
22147,l-u-zh-d-o-v,l-u-zh-d-v-a,0.09453019474785701
22148,k-u-zh-dj-e-v,k-u-zh-d-v-a,0.0664836167240414
22149,zh-d-o-v,zh-d-v-a,0.09453019474785701
22157,zh-dj-e-v,zh-d-v-a,0.0664836167240414
22166,zh-e-d-v,zh-d-v-a,0.0001451401696522
22167,x-a-zh-dj-e-v,x-a-zh-d-v-a,0.0664836167240414
22168,l-u-zh-dj-e-v,l-u-zh-d-v-a,0.0664836167240414
22169,zh-e-d-z,zh-d-z-a,8.6476683251e-06
22177,zh-i-zh-d-o-z,zh-i-zh-d-z-a,0.0641597038115909
22186,zh-dj-e-z,zh-d-z-a,0.0567326430314545
22187,zh-o-d-z,zh-d-z-a,8.2673768625e-06
22195,xj-i-zh-dj-e-z,xj-i-zh-d-z-a,0.0567326430314545
22204,zh-d-o-r,zh-d-r-a,0.42924929057707795
22212,r-a-zh-o-d-r,r-a-zh-d-r-a,0.0014293713871383
22213,zh-e-d-r,zh-d-r-a,0.0014764083313308
22214,l-u-zh-dj-e-r,l-u-zh-d-r-a,0.307890495697784
22215,x-a-zh-dj-e-r,x-a-zh-d-r-a,0.307890495697784
22216,zh-o-d-r,zh-d-r-a,0.0014293713871383
22217,g-u-zh-e-d-r,g-u-zh-d-r-a,0.0014764083313308
22218,l-a-zh-dj-e-r,l-a-zh-d-r-a,0.307890495697784
22219,m-a-zh-o-d-r,m-a-zh-d-r-a,0.0014293713871383
22220,zh-dj-e-r,zh-d-r-a,0.307890495697784
22229,k-a-zh-e-z,k-a-zh-z-a,0.2126350638860378
22230,zh-e-z,zh-z-a,0.2126350638860378
22311,zh-o-z,zh-z-a,0.2126350638860378
22503,lj-i-zh-e-z,lj-i-zh-z-a,0.2126350638860378
22504,sj-i-zh-e-z,sj-i-zh-z-a,0.2126350638860378
22505,b-a-zh-o-z,b-a-zh-z-a,0.2126350638860378
22570,zh-u-zh-zj-e-g,zh-u-zh-z-g-a,0.0247467764773673
22571,gj-i-zh-zj-e-g,gj-i-zh-z-g-a,0.0247467764773673
22572,zh-e-z-g,zh-z-g-a,1.24438245996e-05
22580,zh-zj-e-g,zh-z-g-a,0.0247467764773673
22644,zh-z-o-g,zh-z-g-a,0.0287964751408274
