,GenSR,YerUR,translit,23-sfcost-prod,Sublex_Score
582,zh-z-g-a,zh-z-e_flt-g,zh-zj-e-g,0.00029949086552860134,0.0247467764773673
583,g-u-zh-z-g-a,g-u-zh-e_flt-z-g,g-u-zh-e-z-g,6.691201070592168e-05,1.24438245996e-05
584,zh-z-g-a,zh-z-o_flt-g,zh-z-o-g,0.00030525030525030525,0.0287964751408274
585,l-u-zh-z-d-a,l-u-zh-z-e_flt-d,l-u-zh-zj-e-d,0.0003323363243602525,0.0047398437288578
586,m-u-zh-z-d-a,m-u-zh-z-o_flt-d,m-u-zh-z-o-d,0.0003531073446327682,0.0055340658611177
587,g-a-zh-z-zh-a,g-a-zh-e_flt-z-zh,g-a-zh-e-z-zh,4.9652432969215505e-05,8.711011337746644e-10
588,zh-z-zh-a,zh-z-o_flt-zh,zh-z-o-zh,0.0001760563380281691,4.1660167877025165e-05
589,zh-z-zh-a,zh-o_flt-z-zh,zh-o-z-zh,4.6992481203007535e-05,8.582210158890462e-10
590,g-u-zh-z-zh-a,g-u-zh-z-e_flt-zh,g-u-zh-zj-e-zh,0.0001831501831501831,3.74674699981e-05
591,zh-z-zh-a,zh-z-o_flt-zh,zh-z-o-zh,0.0001760563380281691,4.1660167877025165e-05
592,sh-i-zh-z-zh-a,sh-i-zh-z-o_flt-zh,sh-i-zh-z-o-zh,0.00018083182640144657,4.1660167877025165e-05
593,zh-z-zh-a,zh-z-o_flt-zh,zh-z-o-zh,0.0001760563380281691,4.1660167877025165e-05
594,zh-z-zh-a,zh-e_flt-z-zh,zh-e-z-zh,4.6992481203007535e-05,8.711011337746644e-10
595,zh-u-zh-z-zh-a,zh-u-zh-z-o_flt-zh,zh-u-zh-z-o-zh,0.00018083182640144657,4.1660167877025165e-05
596,zh-z-zh-a,zh-z-e_flt-zh,zh-zj-e-zh,0.00017361111111111117,3.74674699981e-05
597,z-u-zh-z-m-a,z-u-zh-z-o_flt-m,z-u-zh-z-o-m,0.00043421623968736443,0.0080528241173702
598,zh-z-m-a,zh-z-e_flt-m,zh-zj-e-m,0.0003930817610062891,0.0066332663040407
599,zh-z-m-a,zh-z-o_flt-m,zh-z-o-m,0.0004166666666666666,0.0080528241173702
600,zh-z-m-a,zh-z-e_flt-m,zh-zj-e-m,0.0003930817610062891,0.0066332663040407
